a;b
([Ss]aint|[Ss]t\.?).[ÉéEe]douard;saint_édouard
[Mm]ont.?[Cc]alm;montcalm
[Qq]uartier.[Cc]hinois;quartier_chinois
[Qq]uartier.[Cc]oncordia;quartier_concordia
[Qq]uartier.(de\sl')?[Ii]nnovation;quartier_de_innovation
[Qq]uartier.(des\s)?[Gg]ares;quartier_des_gares
[Qq]uartier.(des\s)?[Ss]pectacles;quartier_des_spectacles
[Qq]uartier.(du\s)?[Mm]usée;quartier_du_musée
[Qq]uartier.[Ii]nternational;quartier_international
[Qq]uartier.[Ll]atin;quartier_latin
[Qq]uartier.[Ii]talien;quartier_italien
[Qq]uartier.[Pp]ortugais;quartier_portugais
[Rr]ed.[Ll]ight;red_light
[Ss]haughnessy.Village;shaughnessy_village
[Vv]illage.[Gg]ai;village_gai
[Vv]ille.([Ss]aint|[Ss]t\.?).[Pp]ierre;ville_saint_pierre
[Ww]ellington.(de[Ll']?.)?[Éé]glise;wellington_de_église
[Gg]olden.[Ss]quare(.[Mm]ile)?;golden_square_mile
[Mm]ille.([Cc]arré.)?[Dd]oré;mille_carré_doré
[Mm]onkland(.[Vv]illage)?;monkland
[Ll]ittle.[Bb]urgundy;little_burgundy
[Pp]arc.[Mm]olson;parc_molson
[Pp]arc.[Aa]ngus;parc_angus
[Pp]arc.([Ll]a.)?fontaine;parc_lafontaine
[Pp]arc.[Ll]aurier;parc_laurier
[Pp]etit.[Mm]aghreb;petit_maghreb
[Pp]etit.[Pp]ortugal;petit_portugal
[Gg]oose.[Vv]illage;goose_village
[Ff]aubourg([Àà])?[Mm].lasse;faubourg_mlasse
[Cc]ité.(de.la.)?[Mm]ode;cité_de_la_mode
[Cc]ité.(du.)?[Hh]avre;cité_du_havre
[Cc]ité.(du.)[Mm]ulti-?média;cité_du_multimédia
[Cc]itt[aà].[Ii]taliana;città_italiana
[Vv]illeray;villeray
